x,y,u
0.0,0.0,0.0
0.015625,0.0,0.0
0.03125,0.0,0.0
0.046875,0.0,0.0
0.0625,0.0,0.0
0.078125,0.0,0.0
0.09375,0.0,0.0
0.109375,0.0,0.0
0.125,0.0,0.0
0.140625,0.0,0.0
0.15625,0.0,0.0
0.171875,0.0,0.0
0.1875,0.0,0.0
0.203125,0.0,0.0
0.21875,0.0,0.0
0.234375,0.0,0.0
0.25,0.0,0.0
0.265625,0.0,0.0
0.28125,0.0,0.0
0.296875,0.0,0.0
0.3125,0.0,0.0
0.328125,0.0,0.0
0.34375,0.0,0.0
0.359375,0.0,0.0
0.375,0.0,0.0
0.390625,0.0,0.0
0.40625,0.0,0.0
0.421875,0.0,0.0
0.4375,0.0,0.0
0.453125,0.0,0.0
0.46875,0.0,0.0
0.484375,0.0,0.0
0.5,0.0,0.0
0.515625,0.0,0.0
0.53125,0.0,0.0
0.546875,0.0,0.0
0.5625,0.0,0.0
0.578125,0.0,0.0
0.59375,0.0,0.0
0.609375,0.0,0.0
0.625,0.0,0.0
0.640625,0.0,0.0
0.65625,0.0,0.0
0.671875,0.0,0.0
0.6875,0.0,0.0
0.703125,0.0,0.0
0.71875,0.0,0.0
0.734375,0.0,0.0
0.75,0.0,0.0
0.765625,0.0,0.0
0.78125,0.0,0.0
0.796875,0.0,0.0
0.8125,0.0,0.0
0.828125,0.0,0.0
0.84375,0.0,0.0
0.859375,0.0,0.0
0.875,0.0,0.0
0.890625,0.0,0.0
0.90625,0.0,0.0
0.921875,0.0,0.0
0.9375,0.0,0.0
0.953125,0.0,0.0
0.96875,0.0,0.0
0.984375,0.0,0.0
1.0,0.0,0.0
0.0,0.015625,0.0
0.015625,0.015625,1.8016227330337957e-07
0.03125,0.015625,3.634309272736767e-07
0.046875,0.015625,5.498509673030748e-07
0.0625,0.015625,7.394610877928992e-07
0.078125,0.015625,9.322830706490143e-07
0.09375,0.015625,1.128313051536936e-06
0.109375,0.015625,1.3275131895002175e-06
0.125,0.015625,1.5298033186861318e-06
0.140625,0.015625,1.735052488068496e-06
0.15625,0.015625,1.9430704251702886e-06
0.171875,0.015625,2.1535990335503514e-06
0.1875,0.015625,2.3663040919663327e-06
0.203125,0.015625,2.5807673776773897e-06
0.21875,0.015625,2.7964794899727816e-06
0.234375,0.015625,3.012833701628722e-06
0.25,0.015625,3.2291212125127683e-06
0.265625,0.015625,3.4445282164757933e-06
0.28125,0.015625,3.65813521443383e-06
0.296875,0.015625,3.868919006884023e-06
0.3125,0.015625,4.07575777157648e-06
0.328125,0.015625,4.277439570772769e-06
0.34375,0.015625,4.4726745330221815e-06
0.359375,0.015625,4.660110814774957e-06
0.375,0.015625,4.838354269158688e-06
0.390625,0.015625,5.00599153918105e-06
0.40625,0.015625,5.161616061936215e-06
0.421875,0.015625,5.303856235593514e-06
0.4375,0.015625,5.431404782695836e-06
0.453125,0.015625,5.5430481645640315e-06
0.46875,0.015625,5.637694784993179e-06
0.484375,0.015625,5.714400685944373e-06
0.5,0.015625,5.7723914957461735e-06
0.515625,0.015625,5.811079544104914e-06
0.53125,0.015625,5.830075299780511e-06
0.546875,0.015625,5.829192597305649e-06
0.5625,0.015625,5.808447471261777e-06
0.578125,0.015625,5.76805077804984e-06
0.59375,0.015625,5.708395122920861e-06
0.609375,0.015625,5.630036895239033e-06
0.625,0.015625,5.533674425984147e-06
0.640625,0.015625,5.4201234064597606e-06
0.65625,0.015625,5.290290744319725e-06
0.671875,0.015625,5.145147989737063e-06
0.6875,0.015625,4.985705355118788e-06
0.703125,0.015625,4.812987194660755e-06
0.71875,0.015625,4.628009624998079e-06
0.734375,0.015625,4.43176077389789e-06
0.75,0.015625,4.225183956170267e-06
0.765625,0.015625,4.009163906703893e-06
0.78125,0.015625,3.784516057589591e-06
0.796875,0.015625,3.551978733612774e-06
0.8125,0.015625,3.312208058631982e-06
0.828125,0.015625,3.0657753126770594e-06
0.84375,0.015625,2.8131664524684735e-06
0.859375,0.015625,2.554783501970028e-06
0.875,0.015625,2.2909475295856846e-06
0.890625,0.015625,2.0219029495739437e-06
0.90625,0.015625,1.7478229117602237e-06
0.921875,0.015625,1.4688155689963091e-06
0.9375,0.015625,1.1849310249076597e-06
0.953125,0.015625,8.961687395184351e-07
0.96875,0.015625,6.024850325993288e-07
0.984375,0.015625,3.0379982572133824e-07
1.0,0.015625,0.0
0.0,0.03125,0.0
0.015625,0.03125,3.6514481407720705e-07
0.03125,0.03125,7.365744770786117e-07
0.046875,0.03125,1.114398033812662e-06
0.0625,0.03125,1.4987043527834494e-06
0.078125,0.03125,1.889545991550305e-06
0.09375,0.03125,2.286922981518013e-06
0.109375,0.03125,2.6907663698683803e-06
0.125,0.03125,3.100921393150504e-06
0.140625,0.03125,3.517130292917366e-06
0.15625,0.03125,3.939014904520931e-06
0.171875,0.03125,4.3660592582780545e-06
0.1875,0.03125,4.797592537878874e-06
